date,platform,account,content,topic,sentiment,risk_score,opportunity_score,likes,comments,shares,views,url,action_note,source_type
2025-05-28,Instagram,koraydoganay,Ve Aslan Oğlum Hayatının Bir Evresini Daha Bitirdi Bundan Sonra ki Hayatın Bugüne Kadar Olandan Daha Güzel Daha Huzurlu Daha Mutlu Ve Bütün Güzellikleri İle Zenginleyerek Büyüsün Aslanım… Yolun Bahtın Açık Olsun,hizmet_asfalt,neutral,2,4,0.0,0.0,0,0,https://www.instagram.com/p/DKNLESqttKB/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2020-09-27,Instagram,koraydoganay,#ardından #kırk #köpek #havlamayan #kurt #kurt #sayılmaz 🇹🇷🇹🇷🇹🇷,ardindan_kirk_köpek_havlamayan,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/CFpRzEEJpkq/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2020-07-20,Instagram,koraydoganay,Aslanımla 🦁,aslanimla,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/CC29EVhJxw-/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2020-07-19,Instagram,koraydoganay,#tb 🇹🇷,genel,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/CC0s90nJXm9/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2020-07-19,Instagram,koraydoganay,#tb 🇹🇷,genel,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/CC0stpZJOBL/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2020-07-15,Instagram,koraydoganay,"İKNA EDİLMİŞLERLE YOLA ÇIKILMAZ. YOLA İNANMIŞLARLA ÇIKILIR. 15 Temmuz Demokrasi ve Milli Birlik Günü Şehitlerimizi Saygı, Rahmet ve Minnet ile Anıyorum. #15temmuz",hizmet_asfalt,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/CCp51ykJxp2/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2019-09-29,Instagram,koraydoganay,#otuzyıllık #abi #kardeşlik,otuzyillik_kardeşlik,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/B3AQTH2JtbR/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2019-06-05,Instagram,koraydoganay,#herşeyerağmen #hayat #gördüklerimizden #ibarettir,herşeyerağmen_hayat_gördüklerimizden_ibarettir,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/ByVshkjJ3y6/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2019-01-20,Instagram,koraydoganay,#karanlığın #içerisinde #ışık #olmak #çok #zordur #karanlıkta #ışık #olan #insanlara #selam #olsun,karanliğin_içerisinde_işik_olmak,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/Bs3c5EcBIxX/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2018-05-01,Instagram,koraydoganay,#burası #istanbul #değil #antalya #türkiye #nin #en #büyük #kentseldönüşüm #projesi #türkiye #güzel #antalya #çok #güzel,burasi_istanbul_değil_türkiye,neutral,2,4,0.0,0.0,0,0,https://www.instagram.com/p/BiPDYullBw4/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2018-01-12,Instagram,koraydoganay,#arhan #galatasaray #nerdekalmıştık #antalya #kampgünlüğü,arhan_galatasaray_nerdekalmiştik_kampgünlüğü,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/Bd3RusVDRJu/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
2018-01-12,Instagram,koraydoganay,#arhan #galatasaray #nerdekalmıştık #antalya #kamp #muslera #erenderdiyok #mert,arhan_galatasaray_nerdekalmiştik_kamp,neutral,2,2,0.0,0.0,0,0,https://www.instagram.com/p/Bd3CAjrD2s1/,İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik Instagram
