date,platform,account,content,topic,likes,replies,reposts,quotes,engagement,url,source_type
2026-05-11,X / Twitter,@mesutkocagoztr,"Büyük Doğum Günü Buluşması!  Kepez’de genç olmak ayrı bir heyecan… Bu heyecanı hep birlikte kutlamaya hazırlanıyoruz.  19 Mayıs Atatürk’ü Anma, Gençlik ve Spor Bayramı kapsamında; bu yıl 16, 17 ve 18 yaşına giren gençlerimizi Büyük Doğum Günü Buluşmasında bir araya getiriyoruz. https://t.co/ahuSYxI7hp",spor_etkinlik,20,0,4,0,24,https://x.com/mesutkocagoztr/status/2053811597412319558,Başkan X Hesabı
2026-05-11,X / Twitter,@mesutkocagoztr,"19 Mayıs coşkusu Kepez’de festival heyecanına dönüşüyor!   Atatürk’ü Anma, Gençlik ve Spor Bayramı’nı, Kepez Gençlik Festivali GENÇFEST’te gençliğin enerjisine yakışan dopdolu bir programla kutluyoruz.  İki gün boyunca Kepez’de; spor, sanat, müzik, sahne gösterileri, yarışmalar https://t.co/d5uzxIJQeu",spor_etkinlik,35,0,11,0,46,https://x.com/mesutkocagoztr/status/2053771288389300540,Başkan X Hesabı
2026-05-10,X / Twitter,@mesutkocagoztr,"Kepez'de dayanışma tüm kenti sarıyor.   Kızıllı Bahar Şenliği'mizde hemşehrilerimize belediyemizin birçok hizmetini götürdük.   Çocuklarımız keyifli zaman geçirirken, aileler de belediyemize taleplerini sundular.   Kepez'de birlik ve beraberliğimiz büyümeye devam ediyor. https://t.co/COpLrWJ4Qb",cocuk_aile,79,0,19,2,100,https://x.com/mesutkocagoztr/status/2053543622180589927,Başkan X Hesabı
2026-05-10,X / Twitter,@mesutkocagoztr,Kepez'de 4 gün boyunca drag yarışları nefesleri kesti.   Moto Drag ve Oto Drag yarışlarının 1. Etap heyecanını Kepez Yeni Drag Pisti'nde yaşadık.   Adrenalin dolu bu yarışları güvenli bir ortamda izledik. Kepez'imize bu pisti kazandırmaktan dolayı mutluyuz.   Yarışan tüm https://t.co/IIQ1X3PaAD,spor_etkinlik,71,0,17,0,88,https://x.com/mesutkocagoztr/status/2053524087599771971,Başkan X Hesabı
2026-05-10,X / Twitter,@mesutkocagoztr,"Kepez Enfes 2026 Engelsiz Festival'de hep beraberdik.   Bir Nefes Ver Hayatıma projesiyle başladığımız engelli dostu çalışmalarımız bugün Kepez'imizde ilk defa düzenlenen çok özel bir festivalle devam ediyor.   Engelli dostlarımız ve aileleri için müzik, sahne gösterileri ve https://t.co/kUTaesdBri",enfes_2026_engelsiz_festival,70,0,19,0,89,https://x.com/mesutkocagoztr/status/2053491083829444863,Başkan X Hesabı
2026-05-10,X / Twitter,@mesutkocagoztr,"Kepez Belediyesi Uluslararası Mozaik Sempozyumu Sergisi açıldı.   Antalya Valimizin kıymetli eşlerii Ebru Şahin, Kepez Kaymakamımız Suat Dervişoğlu, kıymetli eşleri Canan Dervişoğlu ve AESOB Başkanı Adlıhan Dere'nin katılımı ile gerçekleşen açılışta; 2 Mayıs'tan bu yana https://t.co/MIdpIPtODr",uluslararasi_mozaik_sempozyumu_sergisi,71,0,20,0,91,https://x.com/mesutkocagoztr/status/2053477665118556665,Başkan X Hesabı
2026-05-10,X / Twitter,@mesutkocagoztr,"Kepez Belediyesi Dayanışma Buluşmalarının ilkini Kızıllı Bahar Şenliği ile gerçekleştirdik.   Çocuklarımız ve mahalle sakinlerimize sunduğumuz sahne etkinliklerinin yanı sıra Bilim ve Teknoloji Tırı, Mini Rota Gezici Kreş ve Kütüphanemiz, Mobil Sağlık Araçlarımız, kuaförlerimiz https://t.co/Ieq31MwCnK",cocuk_aile,73,0,20,0,93,https://x.com/mesutkocagoztr/status/2053469771270603030,Başkan X Hesabı
2026-05-10,X / Twitter,@mesutkocagoztr,"Türkiye Drag Şampiyonası Moto Drag 1. Ayak Yarışları için Kaymakamımız Suat Dervişoğlu ile birlikte Kepez Yeni Drag Pisti'ndeydik.   Motor sporlarının daha güvenli ve keyifli olması için Yeni Drag Pisti'mizi hayata geçirdik.   Sporun her alanında Kepez'imizi marka şehir yapmak, https://t.co/wMlPgVBEMF",spor_etkinlik,69,0,21,0,90,https://x.com/mesutkocagoztr/status/2053437169084035189,Başkan X Hesabı
2026-05-10,X / Twitter,@mesutkocagoztr,"Kaç yaşına gelirsek gelelim “Anne” deyişimizin tonu hiç değişmiyor.  Çocukken düştüğümüzde, gençken yorulduğumuzda, büyüyüp dünyanın yükünü omuzladığımızda bile aynı özlemle sesleniyoruz. Ve hep aynı yerden, aynı sıcaklıkla bir ses geliyor: “Efendim yavrum…”  İnsan bazen yılları https://t.co/Q1t6KOmD9k",cocuk_aile,86,0,22,0,108,https://x.com/mesutkocagoztr/status/2053362080246317498,Başkan X Hesabı
2026-05-09,X / Twitter,@mesutkocagoztr,Defne ve Batuhan İrem ve Hüsnü Özüm ve Berk Ayşenur ve Hasan Can evlatlarımızın nikah akitlerini gerçekleştirdik.   Genç çiftlerimize ömür boyu mutluluklar diliyorum. https://t.co/S9e8NIw47W,defne_batuhan_hüsnü_özüm,72,0,7,0,79,https://x.com/mesutkocagoztr/status/2053179702085398820,Başkan X Hesabı
