date,platform,account,content,topic,sentiment,risk_score,opportunity_score,likes,comments,shares,views,url,action_note,source_type
2026-04-30,YouTube,@okty3625,"Çok biliyormuş gibi tahtayı açmadın, koca bir şehri yaktın sözde başkan. Bu takım düşerse şehri terkedin",Kanal V Televizyonu,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=YdEUWSn1E70,YouTube yorumu takip edildi. Video: SPOR AKTİF KANAL V TELEVİZYONU 28.04.2026 / Kanal: Kanal V Televizyonu. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-04-29,YouTube,@Gökmen-iq3,Transfer tahtasını ocak ayın da açmazsan buralara gelmek normaldi,Kanal V Televizyonu,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=YdEUWSn1E70,YouTube yorumu takip edildi. Video: SPOR AKTİF KANAL V TELEVİZYONU 28.04.2026 / Kanal: Kanal V Televizyonu. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-03,YouTube,@salihkablan8222,"Yağlı güreşin adresi KozaTv yi tebrik ederim, varolun.",Kozatv,neutral,4,2,0,1,0,0,https://www.youtube.com/watch?v=BpwN43ZQtEY,YouTube yorumu takip edildi. Video: Muğla Fethiye Karaçulha Yağlı Pehlivan Güreşleri   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-03,YouTube,@salihkablan8222,Final maçlarını lütfen heyecanlı sunun 🙂,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=BpwN43ZQtEY,YouTube yorumu takip edildi. Video: Muğla Fethiye Karaçulha Yağlı Pehlivan Güreşleri   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-03,YouTube,@salihkablan8222,"Cengizhan Şimşek yarı final güreşini sunmadınız, anlayamadık. 😢",Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=BpwN43ZQtEY,YouTube yorumu takip edildi. Video: Muğla Fethiye Karaçulha Yağlı Pehlivan Güreşleri   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-03,YouTube,@muhammedsadkkulaksz7047,Çok iyi,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=BpwN43ZQtEY,YouTube yorumu takip edildi. Video: Muğla Fethiye Karaçulha Yağlı Pehlivan Güreşleri   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-02,YouTube,@mistiksound,Sabırsızlıkla bekliyorum 🤍,Kozatv,neutral,2,2,1,1,0,0,https://www.youtube.com/watch?v=7yhlxf22NB0,YouTube yorumu takip edildi. Video: Koza Haber   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-02,YouTube,@lHanBey,Gamze hanımı ekranlarda tekrar görmek çok güzel . İyi yayınlarınız olsun,Kozatv,neutral,2,4,1,1,0,0,https://www.youtube.com/watch?v=7yhlxf22NB0,YouTube yorumu takip edildi. Video: Koza Haber   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-01,YouTube,@gulbanuyucel7926,Kablo tv de ne zaman yayina geciyorsunuz.,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=hwf0GTyKS8s,YouTube yorumu takip edildi. Video: Koza Haber   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-04,YouTube,@sairtahmazoglu1758,Değerli Koza TV yöneticileri sizlere çağrıda bulunuyoruz. Koza tv İstanbul'dan Ulusal yayına denildi Mart ayında yine yine bir haber daha 23 Nisan'da yayına başlıyor diye. Ancak Mayıs ayına başlamış bulunuyoruz halen doğru dürüst haber yok. Lütfen seyircileri izi şunun bunun dalga geçmesine bırakmayın. Çünkü her aklı esen Koza TV projesinden vaz geçildi veya Yanıt TV olarak hazırlık yapılıyor diye insanları beklenti içine sokmaktalar. Artık iş sizlere düşmektedir. Artık gerçek neyse seyircileri izi bilgilendirin. Buradan sayın Özgür Çakmakçı beye çağrıda bulunuyoruz. Lütfen en kısa zaman içinde Koza TV ne oldu ve ne olacak net bir bilgi veriniz. Selamlar olsun... Gönüller Şairi TAHMAZOĞLU,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=Nr8k2QVzcus,YouTube yorumu takip edildi. Video: Koza Haber  #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-05-03,YouTube,@zlemizgili8922,❤❤❤,Kozatv,neutral,2,2,1,1,0,0,https://www.youtube.com/watch?v=4UUDhRd7zTM,YouTube yorumu takip edildi. Video: CHP Lideri Özgür Özel Konuşuyor  #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-04-28,YouTube,@mustafacifci79,Yaşasın laik cumhuriyet,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=DnMOEVxOuHs,YouTube yorumu takip edildi. Video: CHP Grup Toplantısı   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-04-28,YouTube,@mustafacifci79,Yaşasın Atatürk ilke ve devrimleri,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=DnMOEVxOuHs,YouTube yorumu takip edildi. Video: CHP Grup Toplantısı   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-04-28,YouTube,@mustafacifci79,CHP engellenemez değişim engellenemez,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=DnMOEVxOuHs,YouTube yorumu takip edildi. Video: CHP Grup Toplantısı   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-04-28,YouTube,@mustafacifci79,Egemenlik milletin millet CHP de,Kozatv,neutral,2,2,0,1,0,0,https://www.youtube.com/watch?v=DnMOEVxOuHs,YouTube yorumu takip edildi. Video: CHP Grup Toplantısı   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
2026-04-28,YouTube,@nahidebabaoglu4308,EGEMENLİK KAYITSIZ ŞARTSIZ MİLLETİNDİR.,Kozatv,neutral,2,2,1,1,0,0,https://www.youtube.com/watch?v=DnMOEVxOuHs,YouTube yorumu takip edildi. Video: CHP Grup Toplantısı   #CanlıYayın / Kanal: Koza Tv. İçerik izlemeye alınmalı. Şu aşamada acil aksiyon gerekmiyor.,Otomatik YouTube
